epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5349,1.63057,3.52557,2.05354,0.03171,0.71999,0.11902,0.03586,2.133,3.39176,3.15195,0.00037154,0.00037154,0.00037154
2,45.7527,1.29156,2.84495,1.68727,0.07564,0.28437,0.08597,0.02639,2.01511,3.21614,4.61957,0.000742374,0.000742374,0.000742374
3,58.3874,1.29523,2.46601,1.68482,0.20822,0.45402,0.23395,0.11846,1.54056,3.29258,2.73793,0.00109793,0.00109793,0.00109793
4,72.6623,1.32613,2.424,1.71549,0.30673,0.24675,0.21085,0.08563,1.60501,2.97568,2.46323,0.00134412,0.00134412,0.00134412
5,87.4694,1.33438,2.26347,1.70844,0.02375,0.02577,0.02358,0.00774,2.68713,3.47547,3.28838,0.00131582,0.00131582,0.00131582
6,99.7217,1.28029,2.18974,1.65391,0.15609,0.30242,0.15461,0.07572,1.80759,2.7827,2.55199,0.00128753,0.00128753,0.00128753
7,112.364,1.26533,2.0269,1.60819,0.34732,0.13611,0.17013,0.07869,1.68008,2.96615,2.455,0.00125923,0.00125923,0.00125923
8,126.935,1.2544,1.92991,1.6007,0.27461,0.47086,0.27702,0.11546,1.74931,2.59285,2.59385,0.00123094,0.00123094,0.00123094
9,141.893,1.24285,1.8381,1.58469,0.20664,0.56034,0.30273,0.127,1.78136,2.54151,2.48861,0.00120265,0.00120265,0.00120265
10,153.734,1.19498,1.75764,1.55685,0.28751,0.65804,0.37104,0.20301,1.40031,2.05252,2.12659,0.00117435,0.00117435,0.00117435
11,167.311,1.19026,1.74855,1.54876,0.34724,0.66126,0.39939,0.19367,1.60659,2.09744,2.33519,0.00114606,0.00114606,0.00114606
12,181.372,1.18839,1.67749,1.54333,0.56185,0.63067,0.56392,0.34738,1.27447,1.67012,1.94422,0.00111776,0.00111776,0.00111776
13,195.66,1.20677,1.64291,1.55931,0.49642,0.73757,0.60385,0.36058,1.28763,1.46049,1.99648,0.00108947,0.00108947,0.00108947
14,206.714,1.15754,1.57345,1.53909,0.39056,0.65663,0.41843,0.23904,1.3809,1.73348,2.15727,0.00106118,0.00106118,0.00106118
15,220.713,1.10033,1.56284,1.50009,0.45518,0.65346,0.57793,0.32184,1.33876,1.61368,2.06147,0.00103288,0.00103288,0.00103288
16,235.055,1.15088,1.54732,1.52491,0.42535,0.68372,0.52278,0.27264,1.53239,1.64392,2.17527,0.00100459,0.00100459,0.00100459
17,247.16,1.13283,1.50572,1.45954,0.43501,0.79154,0.59285,0.37039,1.30167,1.49344,1.95326,0.000976293,0.000976293,0.000976293
18,260.161,1.11232,1.49257,1.48458,0.46361,0.72215,0.60774,0.38044,1.24959,1.38392,1.92447,0.000947999,0.000947999,0.000947999
19,274.686,1.13089,1.41364,1.47079,0.48454,0.78817,0.63985,0.36984,1.38066,1.35423,2.03778,0.000919704,0.000919704,0.000919704
20,288.933,1.13546,1.44187,1.49322,0.58045,0.73761,0.66901,0.42334,1.24953,1.24871,1.93345,0.00089141,0.00089141,0.00089141
21,300.018,1.07422,1.39161,1.46762,0.5522,0.71939,0.68939,0.40358,1.32162,1.21267,2.04602,0.000863116,0.000863116,0.000863116
22,314.47,1.08525,1.34262,1.47688,0.51497,0.70923,0.63471,0.40215,1.30048,1.40123,1.93601,0.000834822,0.000834822,0.000834822
23,328.953,1.11372,1.32595,1.49425,0.49595,0.68086,0.65601,0.41563,1.26339,1.49558,1.96151,0.000806528,0.000806528,0.000806528
24,339.897,1.08603,1.28768,1.45877,0.54908,0.73708,0.71088,0.48359,1.16673,1.33019,1.82397,0.000778233,0.000778233,0.000778233
25,353.437,1.06504,1.27817,1.41456,0.542,0.8011,0.71249,0.44558,1.26153,1.23709,1.9155,0.000749939,0.000749939,0.000749939
26,368.045,1.05626,1.31008,1.43079,0.4717,0.72327,0.64869,0.41124,1.2239,1.27082,1.92908,0.000721645,0.000721645,0.000721645
27,381.704,1.04981,1.25705,1.42902,0.51662,0.80848,0.72163,0.48519,1.14956,1.19169,1.80971,0.000693351,0.000693351,0.000693351
28,392.648,1.06443,1.23133,1.45121,0.58672,0.74784,0.73618,0.47194,1.2584,1.17005,1.89781,0.000665057,0.000665057,0.000665057
29,407.179,1.03322,1.2013,1.43592,0.52151,0.87734,0.74729,0.47758,1.25325,1.10095,1.93182,0.000636762,0.000636762,0.000636762
30,421.614,1.04794,1.1948,1.41933,0.64591,0.68141,0.75303,0.50617,1.16735,1.08856,1.82789,0.000608468,0.000608468,0.000608468
31,433.581,1.02423,1.16916,1.4031,0.73811,0.68325,0.76111,0.49548,1.16869,1.03742,1.84996,0.000580174,0.000580174,0.000580174
32,446.282,1.03027,1.13742,1.43639,0.71541,0.70495,0.73346,0.47878,1.20323,1.05144,1.90049,0.00055188,0.00055188,0.00055188
33,461.305,0.99413,1.13396,1.39157,0.63078,0.76383,0.74411,0.50725,1.15444,1.0628,1.84334,0.000523586,0.000523586,0.000523586
